Movie Name,Directors,Duration,Year,Ratings,Metascore,Sno
Spider-Man: Across the Spider-Verse,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson, Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson",140 min,2023,9.1,86,1
The Dark Knight,"Christopher Nolan, Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",152 min,2008,9,84,2
The Lord of the Rings: The Return of the King,"Peter Jackson, Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",201 min,2003,9,94,3
Inception,"Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",148 min,2010,8.8,74,4
The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",178 min,2001,8.8,92,5
The Lord of the Rings: The Two Towers,"Peter Jackson, Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",179 min,2002,8.8,87,6
The Matrix,"Lana Wachowski, Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",136 min,1999,8.7,73,7
Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",124 min,1980,8.7,82,8
Soorarai Pottru,"Sudha Kongara, Suriya, Paresh Rawal, Aparna Balamurali, Urvashi",153 min,2020,8.7,,9
Star Wars,"George Lucas, Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",121 min,1977,8.6,90,10
Terminator 2: Judgment Day,"James Cameron, Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",137 min,1991,8.6,75,11
Shichinin no samurai,"Akira Kurosawa, Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",207 min,1954,8.6,98,12
Seppuku,"Masaki Kobayashi, Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",133 min,1962,8.6,85,13
Sita Ramam,"Hanu Raghavapudi, Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth",163 min,2022,8.6,,14
Léon,"Luc Besson, Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",110 min,1994,8.5,64,15
Gladiator,"Ridley Scott, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",155 min,2000,8.5,67,16
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",117 min,2018,8.4,87,17
Avengers: Endgame,"Anthony Russo, Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",181 min,2019,8.4,78,18
Raiders of the Lost Ark,"Steven Spielberg, Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",115 min,1981,8.4,85,19
Avengers: Infinity War,"Anthony Russo, Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",149 min,2018,8.4,68,20
Oldeuboi,"Park Chan-wook, Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok",101 min,2003,8.4,77,21
The Dark Knight Rises,"Christopher Nolan, Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",164 min,2012,8.4,78,22
Aliens,"James Cameron, Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",137 min,1986,8.4,84,23
Kaithi,"Lokesh Kanagaraj, Karthi, Narain, Arjun Das, George Maryan",145 min,2019,8.4,,24
Asuran,"Vetrimaaran, Dhanush, Manju Warrier, Prakash Raj, Pasupathy",141 min,2019,8.4,,25
Top Gun: Maverick,"Joseph Kosinski, Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer",130 min,2022,8.3,78,26
Heat,"Michael Mann, Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",170 min,1995,8.3,76,27
Star Wars: Episode VI - Return of the Jedi,"Richard Marquand, Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",131 min,1983,8.3,58,28
Mononoke-hime,"Hayao Miyazaki, Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",134 min,1997,8.3,76,29
North by Northwest,"Alfred Hitchcock, Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",136 min,1959,8.3,98,30
