Movie Name,Votes,Gross Collection,Popularity,Certification,0,1,2
Spider-Man: Across the Spider-Verse,25924,25924,,PG,Animation, Action, Adventure
The Dark Knight,2719177,"53,48,58,444",,UA,Action, Crime, Drama
The Lord of the Rings: The Return of the King,1887670,"37,78,45,905",,U,Action, Adventure, Drama
Inception,2413862,"29,25,76,195",,UA,Action, Adventure, Sci-Fi
The Lord of the Rings: The Fellowship of the Ring,1916301,"31,55,44,750",,U,Action, Adventure, Drama
The Lord of the Rings: The Two Towers,1703795,"34,25,51,365",,UA,Action, Adventure, Drama
The Matrix,1958453,"17,14,79,930",,A,Action, Sci-Fi,
Star Wars: Episode V - The Empire Strikes Back,1321508,"29,04,75,067",,UA,Action, Adventure, Fantasy
Soorarai Pottru,119523,119523,,U,Action, Drama,
Star Wars,1393977,"32,27,40,140",,U,Action, Adventure, Fantasy
Terminator 2: Judgment Day,1123356,"20,48,43,350",,A,Action, Sci-Fi,
Shichinin no samurai,352918,"2,69,061",,U,Action, Drama,
Seppuku,61014,61014,,,Action, Drama, Mystery
Sita Ramam,59967,59967,,U,Action, Drama, Mystery
Léon,1189719,"1,95,01,238",,A,Action, Crime, Drama
Gladiator,1536597,"18,77,05,427",,UA,Action, Adventure, Drama
Spider-Man: Into the Spider-Verse,568356,"19,02,41,310",,U,Animation, Action, Adventure
Avengers: Endgame,1180696,"85,83,73,000",,UA,Action, Adventure, Drama
Raiders of the Lost Ark,986723,"24,81,59,971",,A,Action, Adventure,
Avengers: Infinity War,1124005,"67,88,15,482",,UA,Action, Adventure, Sci-Fi
Oldeuboi,596567,"7,07,481",,A,Action, Drama, Mystery
The Dark Knight Rises,1742089,"44,81,39,099",,UA,Action, Drama, Thriller
Aliens,732700,"8,51,60,248",,U,Action, Adventure, Sci-Fi
Kaithi,36134,36134,,UA,Action, Adventure, Crime
Asuran,31204,31204,,UA,Action, Drama,
Top Gun: Maverick,590479,"71,87,32,821",,UA,Action, Drama,
Heat,676555,"6,74,36,818",,A,Action, Crime, Drama
Star Wars: Episode VI - Return of the Jedi,1077911,"30,91,25,409",,U,Action, Adventure, Fantasy
Mononoke-hime,406894,"23,75,308",,U,Animation, Action, Adventure
North by Northwest,334679,"1,32,75,000",,U,Action, Adventure, Mystery
Kantara,95512,95512,,UA,Action, Adventure, Drama
Dangal,197384,"1,23,91,761",,U,Action, Biography, Drama
K.G.F: Chapter 2,139669,"66,04,562",,UA,Action, Crime, Drama
Vikram,63865,63865,,UA,Action, Crime, Thriller
Ratsasan,46963,46963,,UA,Action, Crime, Drama
Shershaah,124814,124814,,UA,Action, Biography, Drama
Guardians of the Galaxy Vol. 3,153675,153675,,UA,Action, Adventure, Comedy
Spider-Man: No Way Home,797687,"80,47,47,988",,UA,Action, Adventure, Fantasy
Jurassic Park,1014165,"40,24,53,882",,UA,Action, Adventure, Sci-Fi
Indiana Jones and the Last Crusade,771380,"19,71,71,806",,U,Action, Adventure,
1917,621321,"15,92,27,644",,R,Action, Drama, War
Kill Bill: Vol. 1,1141040,"7,00,99,045",,A,Action, Crime, Drama
Batman Begins,1503652,"20,68,52,432",,UA,Action, Crime, Drama
Die Hard,901492,"8,30,08,852",,A,Action, Thriller,
V for Vendetta,1141021,"7,05,11,035",,UA,Action, Drama, Sci-Fi
Kimetsu no Yaiba: Mugen Ressha-Hen,64428,"4,77,00,000",,UA,Animation, Action, Adventure
Ran,129192,"41,35,750",,Not Rated,Action, Drama, War
Gangs of Wasseypur,99375,99375,,A,Action, Comedy, Crime
Vikram Vedha,47693,47693,,UA,Action, Crime, Drama
Baahubali 2: The Conclusion,106750,"2,01,86,659",,UA,Action, Drama,
